Name,Title,File,Func,StartLine,StartCol,EndLine,EndCol,->,File,Func,StartLine,StartCol,EndLine,EndCol,Debug
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\CWE89_SQL_Injection__SqlDataAdapter_01.cs,bad,15,24,15,47,>,0001_CWE89_SQL_Injection\CWE89_SQL_Injection__SqlDataAdapter_01.cs,bad,20,26,20,63,SQLInjection
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE23_Relative_Path_Traversal\CWE23_Relative_Path_Traversal__simple_01.cs,ProcessRequest,23,26,23,57,>,0002_CWE23_Relative_Path_Traversal\CWE23_Relative_Path_Traversal__simple_01.cs,ProcessRequest,26,31,26,47,PATHMANIP #1
0004_CMDI,운영체제 명령어 삽입,,,,,,,>,0004_CWE78_OS_Command_Injection\CWE78_OS_Command_Injection__Process_01.cs,bad,16,12,16,34,CMDInj #1
0006_REDIRECT,신뢰되지 않는 URL 주소로 자동접속 연결,0006_CWE601_Open_Redirect\CWE601_Open_Redirect__Simple_01__Bad.cs,Page_Load,14,25,14,51,>,0006_CWE601_Open_Redirect\CWE601_Open_Redirect__Simple_01__Bad.cs,Page_Load,15,12,15,29,REDIRECT #1
0009_LDAPI,LDAP 삽입,,,,,,,>,0009_CWE90_LDAP_Injection\CWE90_LDAP_Injection__simple_01.cs,bad,23,16,23,29,LADPI #1
000C_TYPEOVER,정수형 오버플로우,000C_CWE190_Integer_Overflow\CWE190_Integer_Overflow__Int_Divide_Wraparound_01.cs,bad,14,27,14,32,>,000C_CWE190_Integer_Overflow\CWE190_Integer_Overflow__Int_Divide_Wraparound_01.cs,bad,14,18,14,24,moi12
000D_RELUNTRUST,보안 기능 결정에 사용되는 부적절한 입력값,000D_CWE807_Reliance_on_Untrusted_Inputs_in_a_Security_Decision\CWE807_Reliance_on_Untrusted_Inputs_in_a_Security_Decision__Cookie_01.cs,Bad,20,27,20,28,>,000D_CWE807_Reliance_on_Untrusted_Inputs_in_a_Security_Decision\CWE807_Reliance_on_Untrusted_Inputs_in_a_Security_Decision__Cookie_01.cs,Bad,23,31,23,38,RELUNTRUST_000D #1
0011_IMPRAUTH,부적절한 인가,,,,,,,>,0011_CWE285_Improper_Authorization\CWE285_Improper_Authorization__Authorize_Attribute_01_Bad.cs,AuthCritical,12,8,15,9,ImproperAuth #5
0012_WRONGPERM,중요한 자원에 대한 잘못된 권한설정,,,,,,,>,0012_CWE732_Incorrect_Permission_Assignment_for_Critical_Resource\CWE732_Incorrect_Permission_Assignment_for_Critical_Resource__Directory_everyone_01.cs,bad,18,61,18,71,*
0012_WRONGPERM,중요한 자원에 대한 잘못된 권한설정,,,,,,,>,0012_CWE732_Incorrect_Permission_Assignment_for_Critical_Resource\CWE732_Incorrect_Permission_Assignment_for_Critical_Resource__File_everyone_01.cs,bad,17,65,17,75,*
0013_BROKNCRYPT,취약한 암호화 알고리즘 사용,0013_CWE327_Use_Broken_Crypto\CWE327_Use_Broken_Crypto__MD5_01.cs,bad,24,33,24,36,>,0013_CWE327_Use_Broken_Crypto\CWE327_Use_Broken_Crypto__MD5_01.cs,bad,24,23,24,30,moi 19 #6
0016_HARDPASS,하드코드된 비밀번호,0016_CWE259_Hard_Coded_Password\CWE259_Hard_Coded_Password__equals_01.cs,bad,17,20,17,28,>,0016_CWE259_Hard_Coded_Password\CWE259_Hard_Coded_Password__equals_01.cs,bad,17,20,17,35,moi22
