Name,Title,File,Func,StartLine,StartCol,EndLine,EndCol,->,File,Func,StartLine,StartCol,EndLine,EndCol,Debug
0004_CMDI,운영체제 명령어 삽입,,,,,,,>,CWE78_OS_Command_Injection\m01\CWE78_OS_Command_Injection__char_environment_system_01.c,CWE78_OS_Command_Injection__char_environment_system_01_bad,61,8,61,20,getty
000C_TYPEOVER,정수형 오버플로우,,,,,,,>,CWE190_Integer_Overflow\io.c,decodeHexChars,115,28,115,48,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE121_Stack_Based_Buffer_Overflow\m11\CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.c,CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01_bad,37,8,37,28,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m11\CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memcpy_01.c,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memcpy_01_bad,36,8,36,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m11\CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memmove_01.c,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memmove_01_bad,36,8,36,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m11\CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_01.c,CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_01_bad,35,8,35,28,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_char_memcpy_01.cpp,bad,39,8,39,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_char_memmove_01.cpp,bad,39,8,39,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_char_ncpy_01.cpp,bad,39,8,39,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_memcpy_01.cpp,bad,39,8,39,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_memmove_01.cpp,bad,39,8,39,19,cqi
000E_BUFOVER,메모리 버퍼 오버플로우,,,,,,,>,CWE122_Heap_Based_Buffer_Overflow\m01\CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncpy_01.cpp,bad,39,8,39,19,cqi
000F_FORMATI,포맷 스트링 삽입,,,,,,,>,CWE134_Uncontrolled_Format_String\m01\CWE134_Uncontrolled_Format_String__char_environment_printf_01.c,CWE134_Uncontrolled_Format_String__char_environment_printf_01_bad,51,4,51,16,getty
000F_FORMATI,포맷 스트링 삽입,,,,,,,>,CWE134_Uncontrolled_Format_String\m01\CWE134_Uncontrolled_Format_String__char_environment_snprintf_01.c,CWE134_Uncontrolled_Format_String__char_environment_snprintf_01_bad,59,8,59,35,getty
001C_LEAKCOM,주석문 안에 포함된 패스워드 등 시스템 주요정보,,,,,,,>,CWE615_Info_Exposure_by_Comment\s01\CWE615_Info_Exposure_by_Comment__w32_01.c,,41,12,42,63,moi28
001C_LEAKCOM,주석문 안에 포함된 패스워드 등 시스템 주요정보,,,,,,,>,CWE615_Info_Exposure_by_Comment\s01\CWE615_Info_Exposure_by_Comment__w32_02.c,,43,16,44,67,moi28
001C_LEAKCOM,주석문 안에 포함된 패스워드 등 시스템 주요정보,,,,,,,>,CWE615_Info_Exposure_by_Comment\s01\CWE615_Info_Exposure_by_Comment__w32_03.c,,43,16,44,67,moi28
