Name,Title,File,Func,StartLine,StartCol,EndLine,EndCol,->,File,Func,StartLine,StartCol,EndLine,EndCol,Debug
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_01.java,bad,54,58,54,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_01.java,bad,115,29,115,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_03.java,bad,51,62,51,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_03.java,bad,118,33,118,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_05.java,bad,58,62,58,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_05.java,bad,125,33,125,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_07.java,bad,56,62,56,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_07.java,bad,123,33,123,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_08.java,bad,64,62,64,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_08.java,bad,131,33,131,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_11.java,bad,51,62,51,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_11.java,bad,118,33,118,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_15.java,bad,53,62,53,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_15.java,bad,121,33,121,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_16.java,bad,52,62,52,85,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_16.java,bad,114,33,114,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_21.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_21.java,badSink,124,33,124,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_41.java,bad,110,58,110,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_41.java,badSink,47,29,47,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_67a.java,bad,56,58,56,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_67b.java,badSink,42,29,42,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_72a.java,bad,52,58,52,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_72b.java,badSink,43,29,43,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_73a.java,bad,52,58,52,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_73b.java,badSink,43,29,43,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeBatch_01.java,bad,35,8,35,35,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeBatch_01.java,bad,52,37,52,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeQuery_01.java,bad,35,8,35,35,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeQuery_01.java,bad,47,24,47,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeUpdate_01.java,bad,35,8,35,35,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_executeUpdate_01.java,bad,46,27,46,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_execute_01.java,bad,35,8,35,35,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_execute_01.java,bad,46,29,46,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_prepareStatement_01.java,bad,35,8,35,35,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Environment_prepareStatement_01.java,bad,46,29,46,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeBatch_01.java,bad,52,16,52,53,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeBatch_01.java,bad,90,37,90,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeQuery_01.java,bad,52,16,52,53,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeQuery_01.java,bad,85,24,85,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeUpdate_01.java,bad,52,16,52,53,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_executeUpdate_01.java,bad,84,27,84,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_execute_01.java,bad,52,16,52,53,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_execute_01.java,bad,84,29,84,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_prepareStatement_01.java,bad,52,16,52,53,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__PropertiesFile_prepareStatement_01.java,bad,84,29,84,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeBatch_01.java,bad,35,8,35,46,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeBatch_01.java,bad,52,37,52,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeQuery_01.java,bad,35,8,35,46,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeQuery_01.java,bad,47,24,47,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeUpdate_01.java,bad,35,8,35,46,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_executeUpdate_01.java,bad,46,27,46,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_execute_01.java,bad,35,8,35,46,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_execute_01.java,bad,46,29,46,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_prepareStatement_01.java,bad,35,8,35,46,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__Property_prepareStatement_01.java,bad,46,29,46,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeBatch_01.java,bad,50,58,50,88,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeBatch_01.java,bad,106,37,106,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeQuery_01.java,bad,50,58,50,88,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeQuery_01.java,bad,101,24,101,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeUpdate_01.java,bad,50,58,50,88,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_executeUpdate_01.java,bad,100,27,100,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_execute_01.java,bad,50,58,50,88,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_execute_01.java,bad,100,29,100,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_prepareStatement_01.java,bad,50,58,50,88,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__URLConnection_prepareStatement_01.java,bad,100,29,100,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeBatch_01.java,bad,54,58,54,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeBatch_01.java,bad,121,37,121,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeQuery_01.java,bad,54,58,54,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeQuery_01.java,bad,116,24,116,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeUpdate_01.java,bad,54,58,54,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_executeUpdate_01.java,bad,115,27,115,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_prepareStatement_01.java,bad,54,58,54,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__connect_tcp_prepareStatement_01.java,bad,115,29,115,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeBatch_01.java,bad,54,16,54,60,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeBatch_01.java,bad,119,37,119,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeQuery_01.java,bad,54,16,54,60,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeQuery_01.java,bad,114,24,114,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeUpdate_01.java,bad,54,16,54,60,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_executeUpdate_01.java,bad,113,27,113,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_execute_01.java,bad,54,16,54,60,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_execute_01.java,bad,113,29,113,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_prepareStatement_01.java,bad,54,16,54,60,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__database_prepareStatement_01.java,bad,113,29,113,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeBatch_01.java,bad,38,19,38,57,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeBatch_01.java,bad,61,37,61,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeQuery_01.java,bad,38,19,38,57,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeQuery_01.java,bad,56,24,56,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_01.java,bad,38,19,38,57,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_01.java,bad,55,27,55,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_execute_01.java,bad,38,19,38,57,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_execute_01.java,bad,55,29,55,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_prepareStatement_01.java,bad,38,19,38,57,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getCookies_Servlet_prepareStatement_01.java,bad,55,29,55,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeBatch_01.java,bad,35,8,35,43,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeBatch_01.java,bad,52,37,52,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeQuery_01.java,bad,35,8,35,43,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeQuery_01.java,bad,47,24,47,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_01.java,bad,35,8,35,43,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_01.java,bad,46,27,46,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_execute_01.java,bad,35,8,35,43,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_execute_01.java,bad,46,29,46,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_prepareStatement_01.java,bad,35,8,35,43,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getParameter_Servlet_prepareStatement_01.java,bad,46,29,46,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_01.java,bad,39,60,39,84,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_01.java,bad,66,37,66,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_01.java,bad,39,60,39,84,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_01.java,bad,61,24,61,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_01.java,bad,39,60,39,84,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_01.java,bad,60,27,60,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_execute_01.java,bad,39,60,39,84,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_execute_01.java,bad,60,29,60,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_01.java,bad,39,60,39,84,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_01.java,bad,60,29,60,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeBatch_01.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeBatch_01.java,bad,136,37,136,64,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeQuery_01.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeQuery_01.java,bad,131,24,131,94,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeUpdate_01.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_executeUpdate_01.java,bad,130,27,130,124,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_execute_01.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_execute_01.java,bad,130,29,130,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_prepareStatement_01.java,bad,57,58,57,81,>,CWE89_SQL_Injection\m01\CWE89_SQL_Injection__listen_tcp_prepareStatement_01.java,bad,130,29,130,51,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\s01\CWE89_SQL_Injection__Hibernate_01.java,bad,15,9,15,40,>,CWE89_SQL_Injection\s01\CWE89_SQL_Injection__Hibernate_01.java,bad,16,16,16,79,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\s01\CWE89_SQL_Injection__Hibernate_01.java,bad,15,9,15,40,>,CWE89_SQL_Injection\s01\CWE89_SQL_Injection__Hibernate_01.java,bad,17,2,17,14,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_42.java,badSource,54,58,54,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_42.java,bad,122,29,122,120,getty
0001_SQLI,SQL 삽입,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_61b.java,badSource,51,58,51,81,>,CWE89_SQL_Injection\m00\CWE89_SQL_Injection__connect_tcp_execute_61a.java,bad,42,29,42,120,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,,,,,,,>,CWE23_Relative_Path_Traversal\m01\CWE23_Relative_Path_Traversal__File_01.java,bad,118,24,118,45,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,CWE23_Relative_Path_Traversal\m00\CWE23_Relative_Path_Traversal__connect_tcp_01.java,bad,53,58,53,81,>,CWE23_Relative_Path_Traversal\m00\CWE23_Relative_Path_Traversal__connect_tcp_01.java,bad,120,24,120,45,getty
