Name,Title,File,Func,StartLine,StartCol,EndLine,EndCol,->,File,Func,StartLine,StartCol,EndLine,EndCol,Debug
0001_SQLI,SQL 삽입,,,,,,,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__array-GET_bad_01.php,null,60,7,60,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__object-directGet_bad_01.php,getInput,47,4,47,29,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__object-directGet_bad_01.php,null,63,7,63,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\0001_CWE89_SQL_Injection__laravel_dbraw_01.php,index,18,8,18,42,>,0001_CWE89_SQL_Injection\0001_CWE89_SQL_Injection__laravel_dbraw_01.php,index,22,32,22,35,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__GET_bad_01.php,null,45,0,45,27,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__GET_bad_01.php,null,57,7,57,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__GET_bad_02_01.php,null,45,0,45,27,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__GET_bad_02_01.php,null,57,7,57,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__POST_bad_01.php,null,45,0,45,28,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__POST_bad_01.php,null,57,7,57,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__POST_bad_02_01.php,null,45,0,45,28,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__POST_bad_02_01.php,null,56,7,56,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__SESSION_bad_01.php,null,45,0,45,31,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__SESSION_bad_01.php,null,57,7,57,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__exec_bad_01.php,null,46,0,46,30,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__exec_bad_01.php,null,59,7,59,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__fopen_bad_01.php,null,48,6,48,36,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__fopen_bad_01.php,null,65,7,65,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__popen_bad_01.php,null,45,0,45,48,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__popen_bad_01.php,null,58,7,58,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__proc_open_bad_01.php,null,54,2,54,42,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__proc_open_bad_01.php,null,68,7,68,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__shell_exec_bad_01.php,null,45,0,45,44,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__shell_exec_bad_01.php,null,56,7,56,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__system_bad_01.php,null,45,0,45,31,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__system_bad_01.php,null,56,7,56,25,getty
0001_SQLI,SQL 삽입,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__unserialize_bad_01.php,null,45,0,45,27,>,0001_CWE89_SQL_Injection\C0001_CWE89_SQL_Injection__unserialize_bad_01.php,null,58,7,58,25,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,,,,,,,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__array-GET_bad_01.php,null,55,7,55,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__object-directGet_bad_01.php,getInput,48,4,48,29,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__object-directGet_bad_01.php,null,58,7,58,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__GET_bad_01.php,null,46,0,46,27,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__GET_bad_01.php,null,51,7,51,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__POST_bad_01.php,null,46,0,46,28,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__POST_bad_01.php,null,51,7,51,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__SESSION_bad_01.php,null,46,0,46,31,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__SESSION_bad_01.php,null,51,7,51,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__exec_bad_01.php,null,47,0,47,30,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__exec_bad_01.php,null,54,7,54,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__fopen_bad_01.php,null,49,6,49,36,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__fopen_bad_01.php,null,60,7,60,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__popen_bad_01.php,null,46,0,46,48,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__popen_bad_01.php,null,53,7,53,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__proc_open_bad_01.php,null,55,2,55,42,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__proc_open_bad_01.php,null,63,7,63,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__shell_exec_bad_01.php,null,46,0,46,44,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__shell_exec_bad_01.php,null,51,7,51,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__system_bad_01.php,null,46,0,46,31,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__system_bad_01.php,null,51,7,51,26,getty
0002_PATHMANIP,경로 조작 및 자원 삽입,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__unserialize_bad_01.php,null,46,0,46,27,>,0002_CWE22_Path_Traversal\C0002_CWE22_Path_Traversal_Fopen__unserialize_bad_01.php,null,53,7,53,26,getty
